epoch,accuracy,dice_coef,loss,lr,recall,val_accuracy,val_dice_coef,val_loss,val_recall
0,0.20717570185661316,0.5287923812866211,0.4720216691493988,1e-04,0.26473483443260193,0.03111358918249607,0.45977333188056946,0.5399810075759888,0.0407453253865242
1,0.32058167457580566,0.6383801698684692,0.361937016248703,1e-04,0.564958930015564,0.3222580552101135,0.616332471370697,0.3827478885650635,0.38401347398757935
2,0.3489439785480499,0.6756646633148193,0.32450374960899353,1e-04,0.7011100649833679,0.39861488342285156,0.6833415627479553,0.3153280019760132,0.7919116616249084
3,0.35943225026130676,0.6912011504173279,0.30896154046058655,1e-04,0.7710508108139038,0.4251959025859833,0.7177104949951172,0.2807750999927521,0.9411598443984985
4,0.36390841007232666,0.7012220025062561,0.29891237616539,1e-04,0.7990809082984924,0.4324052929878235,0.7425887584686279,0.2556523084640503,0.9878528714179993
5,0.3656988739967346,0.7095304727554321,0.2905816435813904,1e-04,0.8056337833404541,0.43344300985336304,0.7528790831565857,0.2452104389667511,0.9956102967262268
6,0.3663042485713959,0.7173430323600769,0.28275594115257263,1e-04,0.8031760454177856,0.43364331126213074,0.7581170797348022,0.239897221326828,0.9963405132293701
7,0.3663053512573242,0.7247534990310669,0.2753274738788605,1e-04,0.7965423464775085,0.4337277412414551,0.7612305283546448,0.23676493763923645,0.9961314797401428
8,0.3662997782230377,0.7319985628128052,0.2680727243423462,1e-04,0.7883067727088928,0.43371960520744324,0.7646883726119995,0.23330724239349365,0.9943844079971313
9,0.3661262094974518,0.7390380501747131,0.26102378964424133,1e-04,0.7800230979919434,0.4335598945617676,0.7676735520362854,0.23032550513744354,0.9905863404273987
10,0.3662111163139343,0.7461450099945068,0.25390979647636414,1e-04,0.770856499671936,0.4333575367927551,0.7706795930862427,0.22730444371700287,0.9868510365486145
11,0.36599186062812805,0.7531906366348267,0.24685604870319366,1e-04,0.7613286972045898,0.43287912011146545,0.7721664905548096,0.2258664220571518,0.9798747897148132
12,0.3658694922924042,0.7598332166671753,0.24021175503730774,1e-04,0.7522863149642944,0.43212810158729553,0.774133026599884,0.22392155230045319,0.971485435962677
13,0.3659428358078003,0.7662270069122314,0.23381352424621582,1e-04,0.744695246219635,0.4319540560245514,0.7759316563606262,0.22210411727428436,0.9693153500556946
