epoch,accuracy,dice_coef,loss,lr,recall,val_accuracy,val_dice_coef,val_loss,val_recall
0,0.20862413942813873,0.5491098165512085,0.4508906304836273,1e-04,0.3551602065563202,0.28486931324005127,0.6004142165184021,0.39478015899658203,0.34660854935646057
1,0.26592859625816345,0.6257500052452087,0.37424975633621216,1e-04,0.5957931280136108,0.3482997715473175,0.6730306148529053,0.31779924035072327,0.5788441300392151
2,0.30074217915534973,0.6620228290557861,0.33797627687454224,1e-04,0.7789040207862854,0.4011308550834656,0.7169231176376343,0.2702637016773224,0.8333156108856201
3,0.3276020884513855,0.6859427690505981,0.31405556201934814,1e-04,0.9223896265029907,0.42723944783210754,0.7425373792648315,0.24225331842899323,0.9657467603683472
4,0.34134232997894287,0.7014448046684265,0.298555463552475,1e-04,0.9891717433929443,0.43298304080963135,0.7571663856506348,0.2262295037508011,0.9954965710639954
5,0.34356942772865295,0.7111621499061584,0.288837730884552,1e-04,0.9992060661315918,0.43372705578804016,0.7659605145454407,0.2166125774383545,0.9994061589241028
6,0.34373220801353455,0.7174878120422363,0.2825128436088562,1e-04,0.9999406337738037,0.4338257312774658,0.7717235684394836,0.2103208601474762,0.9999012351036072
7,0.3437439203262329,0.7218682169914246,0.2781316339969635,1e-04,0.9999942183494568,0.43384212255477905,0.7757757902145386,0.2059013694524765,0.9999837279319763
8,0.34374505281448364,0.7250701189041138,0.27493050694465637,1e-04,0.9999992251396179,0.4338448941707611,0.778769314289093,0.2026388943195343,0.9999969005584717
9,0.34374523162841797,0.7275041341781616,0.27249595522880554,1e-04,0.9999998807907104,0.4338453412055969,0.781060516834259,0.20014318823814392,0.9999992847442627
10,0.34374523162841797,0.7294111251831055,0.2705884575843811,1e-04,1.0,0.4338454604148865,0.7828624844551086,0.19818122684955597,0.9999998807907104
11,0.34374523162841797,0.7309413552284241,0.269058495759964,1e-04,1.0,0.4338454604148865,0.7843115925788879,0.19660434126853943,1.0
12,0.34374523162841797,0.7321938872337341,0.26780736446380615,1e-04,1.0,0.4338454604148865,0.7854989171028137,0.19531284272670746,1.0
13,0.34374523162841797,0.7332317233085632,0.2667681574821472,1e-04,1.0,0.4338454604148865,0.7864872813224792,0.19423805177211761,1.0
14,0.34374523162841797,0.7341075539588928,0.26589301228523254,1e-04,1.0,0.4338454604148865,0.7873213887214661,0.1933313012123108,1.0
15,0.34374523162841797,0.7348517775535583,0.26514753699302673,1e-04,1.0,0.4338454604148865,0.7880336046218872,0.19255714118480682,1.0
