epoch,accuracy,dice_coef,loss,lr,recall,val_accuracy,val_dice_coef,val_loss,val_recall
0,0.36071518063545227,0.6975885033607483,0.3024343252182007,1e-04,0.8314573168754578,0.4338233172893524,0.7663390636444092,0.23171298205852509,0.9993693232536316
1,0.3671698272228241,0.7087026238441467,0.2913252115249634,1e-04,0.8674783110618591,0.4338381290435791,0.769738495349884,0.22830644249916077,0.9994193911552429
2,0.3680300712585449,0.7165504097938538,0.28348252177238464,1e-04,0.866834819316864,0.43383869528770447,0.7735087275505066,0.22449560463428497,0.998882532119751
3,0.36814236640930176,0.7236955761909485,0.27633136510849,1e-04,0.8587413430213928,0.43383559584617615,0.7762177586555481,0.2217596471309662,0.9984769821166992
4,0.36818039417266846,0.7303151488304138,0.2697155475616455,1e-04,0.8507105112075806,0.433819979429245,0.7780425548553467,0.21994701027870178,0.9970788955688477
5,0.3679582476615906,0.7368463277816772,0.2632003724575043,1e-04,0.842995822429657,0.4337831735610962,0.7793287038803101,0.21868792176246643,0.9949362874031067
6,0.36767473816871643,0.7432011365890503,0.2568555772304535,1e-04,0.8343549966812134,0.4337482750415802,0.7804529070854187,0.21757625043392181,0.9933527708053589
7,0.3674734830856323,0.7495157718658447,0.2505379915237427,1e-04,0.8244437575340271,0.43376022577285767,0.7814114689826965,0.21657392382621765,0.9943103194236755
8,0.36728039383888245,0.7557655572891235,0.24427875876426697,1e-04,0.81328946352005,0.43374770879745483,0.7817593216896057,0.21623793244361877,0.9941713809967041
9,0.36700236797332764,0.7621061205863953,0.23792266845703125,1e-04,0.8023990988731384,0.43368107080459595,0.7830528020858765,0.21497203409671783,0.99102383852005
10,0.36690372228622437,0.768308162689209,0.23169691860675812,1e-04,0.79249107837677,0.43367326259613037,0.7831454277038574,0.21491757035255432,0.99093097448349
11,0.3667478859424591,0.7743085622787476,0.22567881643772125,1e-04,0.7826613187789917,0.4336305856704712,0.783774733543396,0.2143009603023529,0.9898892641067505
12,0.3665491044521332,0.78032386302948,0.21965305507183075,1e-04,0.7727196216583252,0.43368425965309143,0.7848396897315979,0.21316426992416382,0.9914423227310181
13,0.36631447076797485,0.7859826683998108,0.2139977514743805,1e-04,0.7629215717315674,0.43361175060272217,0.7852168083190918,0.21279752254486084,0.990148663520813
14,0.3662208616733551,0.79205322265625,0.20793405175209045,1e-04,0.7515328526496887,0.43354877829551697,0.7861726880073547,0.21181733906269073,0.9892066717147827
15,0.3660512864589691,0.7977211475372314,0.20225952565670013,1e-04,0.7392815351486206,0.4331630766391754,0.7879809737205505,0.2099844068288803,0.983075737953186
16,0.3656301498413086,0.8030843734741211,0.1968911737203598,1e-04,0.7298044562339783,0.4325812757015228,0.7873804569244385,0.21062755584716797,0.9770011901855469
17,0.3653292655944824,0.8082137703895569,0.191757470369339,1e-04,0.7182607054710388,0.43273064494132996,0.7894704937934875,0.20846126973628998,0.9774448871612549
18,0.36535075306892395,0.8136311173439026,0.18632443249225616,1e-04,0.7101687788963318,0.43272629380226135,0.789199709892273,0.20876280963420868,0.9784985184669495
19,0.36530742049217224,0.8187566995620728,0.1811915636062622,1e-04,0.7026471495628357,0.43202072381973267,0.7911996841430664,0.2067648321390152,0.9689196944236755
20,0.36526378989219666,0.8230046033859253,0.17693617939949036,1e-04,0.6972998380661011,0.43075698614120483,0.7913863062858582,0.20662152767181396,0.9588518738746643
21,0.36539426445961,0.8271719813346863,0.1727684885263443,1e-04,0.6914198398590088,0.4300343096256256,0.7926139235496521,0.2054084837436676,0.9515396952629089
22,0.36512869596481323,0.8311116695404053,0.16882523894309998,1e-04,0.6847018599510193,0.42853426933288574,0.7927736639976501,0.20529422163963318,0.9386173486709595
23,0.36531832814216614,0.8344526886940002,0.16549445688724518,1e-04,0.681799590587616,0.42863717675209045,0.7937263250350952,0.20433197915554047,0.9371739625930786
24,0.3653707206249237,0.8382154107093811,0.1617262214422226,1e-04,0.6754668354988098,0.4266106188297272,0.7948669791221619,0.203217551112175,0.9196675419807434
25,0.3657127916812897,0.8420602679252625,0.15788204967975616,1e-04,0.6717689037322998,0.42584115266799927,0.7956622242927551,0.2024308145046234,0.9102085828781128
26,0.3656519055366516,0.8455260396003723,0.15440252423286438,1e-04,0.6673793196678162,0.42279547452926636,0.7944574952125549,0.20371393859386444,0.8825620412826538
27,0.36558565497398376,0.8488608598709106,0.1510583609342575,1e-04,0.6633828282356262,0.4222821593284607,0.7961140275001526,0.2020384520292282,0.8757625818252563
28,0.3657439947128296,0.851861834526062,0.1480431705713272,1e-04,0.6605660319328308,0.41816848516464233,0.7938563823699951,0.20436351001262665,0.8487785458564758
29,0.366065114736557,0.8546878695487976,0.14520937204360962,1e-04,0.6584568023681641,0.4155336618423462,0.792182207107544,0.20611990988254547,0.8254755735397339
30,0.3662560284137726,0.8571175932884216,0.1427660882472992,1e-04,0.6579146385192871,0.4091419279575348,0.7863215804100037,0.21202117204666138,0.793420672416687
31,0.3667423129081726,0.8593820929527283,0.14049619436264038,1e-04,0.6582834720611572,0.40915971994400024,0.7871844172477722,0.21117998659610748,0.7925938367843628
32,0.36642196774482727,0.8600923418998718,0.13977698981761932,1e-05,0.6575437188148499,0.4205736517906189,0.7986677885055542,0.1995195895433426,0.8654297590255737
33,0.3672037422657013,0.8612505793571472,0.1386125087738037,1e-05,0.6576554775238037,0.41952836513519287,0.7975550293922424,0.20065300166606903,0.8586944341659546
34,0.3672923147678375,0.8617569804191589,0.13810420036315918,1e-05,0.657071053981781,0.41804274916648865,0.7963986396789551,0.20182324945926666,0.8484517931938171
35,0.36736735701560974,0.8621493577957153,0.1377106010913849,1e-05,0.6567764282226562,0.4162832796573639,0.7952488660812378,0.2029871940612793,0.8369753360748291
