epoch,accuracy,dice_coef,loss,lr,recall,val_accuracy,val_dice_coef,val_loss,val_recall
0,0.29973894357681274,0.5941816568374634,-0.5940818786621094,1e-04,0.5714123845100403,0.22178879380226135,0.5974316596984863,-0.5986499190330505,0.7704630494117737
1,0.24248044192790985,0.6536648869514465,-0.6537562608718872,1e-04,0.7692762613296509,0.19428901374340057,0.6523810625076294,-0.6538066267967224,0.8325515389442444
2,0.2305929958820343,0.6805196404457092,-0.6806737780570984,1e-04,0.8050556778907776,0.19219546020030975,0.6709324717521667,-0.6723368167877197,0.8443033695220947
3,0.22833380103111267,0.700442373752594,-0.7006316184997559,1e-04,0.8307144045829773,0.19178210198879242,0.6853368282318115,-0.6867416501045227,0.8501703143119812
4,0.23071947693824768,0.7179787755012512,-0.7182012796401978,1e-04,0.8477319478988647,0.1916394978761673,0.6968018412590027,-0.6982061862945557,0.8539150357246399
5,0.2361157387495041,0.7345100045204163,-0.7347648739814758,1e-04,0.862885594367981,0.19153796136379242,0.7077044248580933,-0.7091365456581116,0.857018768787384
6,0.24327817559242249,0.7504502534866333,-0.7507362961769104,1e-04,0.8778482675552368,0.19147129356861115,0.7167019248008728,-0.7181748151779175,0.8596295118331909
7,0.2512795031070709,0.766295850276947,-0.7666015625,1e-04,0.8925023078918457,0.19137011468410492,0.7224600911140442,-0.7239559888839722,0.8626959323883057
8,0.26000890135765076,0.7822226881980896,-0.782561719417572,1e-04,0.9060552716255188,0.19137275218963623,0.7274050116539001,-0.7288917899131775,0.8640878796577454
9,0.26871541142463684,0.7972018122673035,-0.7975802421569824,1e-04,0.9173242449760437,0.19139604270458221,0.7312929034233093,-0.7327653169631958,0.8651549220085144
10,0.2757568359375,0.8094763159751892,-0.8098915219306946,1e-04,0.9238141775131226,0.19137734174728394,0.7337411046028137,-0.7352142930030823,0.8643772006034851
11,0.2811293303966522,0.8209103345870972,-0.8213461637496948,1e-04,0.9304579496383667,0.19148346781730652,0.7370390892028809,-0.7385124564170837,0.8653724193572998
12,0.285929411649704,0.8300306797027588,-0.8304846882820129,1e-04,0.9345821142196655,0.19134292006492615,0.7395933270454407,-0.7410865426063538,0.8646025061607361
13,0.290996789932251,0.838629424571991,-0.8390988111495972,1e-04,0.9379773139953613,0.19142861664295197,0.7421960234642029,-0.7437076568603516,0.8636451363563538
14,0.29677456617355347,0.8456382155418396,-0.846120297908783,1e-04,0.9400328993797302,0.19150032103061676,0.7456524968147278,-0.7471671104431152,0.8654745221138
15,0.30418121814727783,0.8533552885055542,-0.8538510799407959,1e-04,0.9444617629051208,0.19179287552833557,0.7475898265838623,-0.7491217851638794,0.864345371723175
